Type,Category,Collection,Tags
Body Wash,Bath & Shower,Bath & Body,"vsk_disable, via_disabled, All Samples, Body Wash, Bath & Shower, Bath & Body"
Body Scrubs & Exfoliants,Bath & Shower,Bath & Body,"vsk_disable, via_disabled, All Samples, Body Scrubs & Exfoliants, Bath & Shower, Bath & Body"
Bath Soak,Bath & Shower,Bath & Body,"vsk_disable, via_disabled, All Samples, Bath Soak, Bath & Shower, Bath & Body"
Hand Sanitizers & Hand Soaps,Bath & Shower,Bath & Body,"vsk_disable, via_disabled, All Samples, Hand Sanitizers & Hand Soaps, Bath & Shower, Bath & Body"
Body Lotions & Body Oils,Body Moisturizers,Bath & Body,"vsk_disable, via_disabled, All Samples, Body Lotions & Body Oils, Body Moisturizers, Bath & Body"
Hand Cream & Foot Cream,Body Moisturizers,Bath & Body,"vsk_disable, via_disabled, All Samples, Hand Cream & Foot Cream, Body Moisturizers, Bath & Body"
Face Sunscreen,Sunscreen,Bath & Body,"vsk_disable, via_disabled, All Samples, Face Sunscreen, Sunscreen, Bath & Body"
Body Sunscreen,Sunscreen,Bath & Body,"vsk_disable, via_disabled, All Samples, Body Sunscreen, Sunscreen, Bath & Body"
Body Tanner,Self Tanners,Bath & Body,"vsk_disable, via_disabled, All Samples, Body Tanner, Self Tanners, Bath & Body"
Face Tanner,Self Tanners,Bath & Body,"vsk_disable, via_disabled, All Samples, Face Tanner, Self Tanners, Bath & Body"
Shampoo,Shampoo & Conditioner,Hair Care,"vsk_disable, via_disabled, All Samples, Shampoo, Shampoo & Conditioner, Hair Care"
Conditioner,Shampoo & Conditioner,Hair Care,"vsk_disable, via_disabled, All Samples, Conditioner, Shampoo & Conditioner, Hair Care"
Hair Mask,Hair Treatments,Hair Care,"vsk_disable, via_disabled, All Samples, Hair Mask, Hair Treatments, Hair Care"
Leave-in Conditioner,Hair Treatments,Hair Care,"vsk_disable, via_disabled, All Samples, Leave-in Conditioner, Hair Treatments, Hair Care"
